x	y
0	0.15411356
0.02377179	0.77056779
0.04754358	1.54113557
0.07131537	2.00347625
0.09508716	2.46581692
0.11885895	2.77404403
0.14263074	3.08227115
0.16640254	3.39049826
0.19017433	3.54461182
0.21394612	3.85283894
0.23771791	4.16106605
0.2614897	4.77752028
0.28526149	6.01042874
0.30903328	6.93511009
0.33280507	7.70567787
0.35657686	8.16801855
0.38034865	8.63035922
0.40412044	8.93858633
0.42789223	9.24681345
0.45166403	9.55504056
0.47543582	9.86326768
0.49920761	10.4797219
0.5229794	11.0961761
0.54675119	11.7126304
0.57052298	12.4831982
0.59429477	13.0996524
0.61806656	13.5619931
0.64183835	13.8702202
0.66561014	14.1784473
0.68938193	14.4866744
0.71315372	14.7949015
0.73692551	16.6442642
0.76069731	16.9524913
0.7844691	17.1066049
0.80824089	17.414832
0.83201268	17.7230591
0.85578447	19.7265354
0.87955626	20.4971031
0.90332805	20.9594438
0.92709984	21.575898
0.95087163	22.0382387
0.97464342	22.3464658
0.99841521	22.8088065
1.022187	23.2711472
1.0459588	23.7334878
1.06973059	24.3499421
1.09350238	24.9663963
1.11727417	25.428737
1.14104596	26.0451912
1.16481775	26.6616454
1.18858954	27.1239861
1.21236133	27.7404403
1.23613312	28.0486675
1.25990491	28.3568946
1.2836767	28.6651217
1.30744849	28.8192352
1.33122029	29.1274624
1.35499208	29.589803
1.37876387	30.0521437
1.40253566	30.9768251
1.42630745	31.9015064
1.45007924	32.6720742
1.47385103	33.2885284
1.49762282	33.5967555
1.52139461	34.0590962
1.5451664	34.3673233
1.56893819	34.6755504
1.59270998	35.1378911
1.61648177	36.0625724
1.64025357	37.1413673
1.66402536	37.603708
1.68779715	38.0660487
1.71156894	38.3742758
1.73534073	38.6825029
1.75911252	39.2989572
1.78288431	40.0695249
1.8066561	40.8400927
1.83042789	41.3024334
1.85419968	41.7647741
1.87797147	42.3812283
1.90174326	42.9976825
1.92551506	43.4600232
1.94928685	44.0764774
1.97305864	44.6929317
1.99683043	45.1552723
2.02060222	45.7717266
2.04437401	46.2340672
2.0681458	46.6964079
2.09191759	47.1587486
2.11568938	47.6210893
2.13946117	48.0834299
2.16323296	48.5457706
2.18700475	49.0081113
2.21077654	49.4704519
2.23454834	50.0869062
2.25832013	50.5492468
2.28209192	51.0115875
2.30586371	51.4739282
2.3296355	51.9362689
2.35340729	52.3986095
2.37717908	52.8609502
2.40095087	53.3232909
2.42472266	53.7856316
2.44849445	54.2479722
2.47226624	54.7103129
2.49603803	55.3267671
2.51980983	55.7891078
2.54358162	56.2514485
2.56735341	56.7137891
2.5911252	57.1761298
2.61489699	57.6384705
2.63866878	58.1008112
2.66244057	58.4090383
2.68621236	58.871379
2.70998415	59.1796061
2.73375594	59.4878332
2.75752773	59.7960603
2.78129952	60.258401
2.80507132	60.8748552
2.82884311	61.9536501
2.8526149	62.5701043
2.87638669	63.032445
2.90015848	63.3406721
2.92393027	63.8030128
2.94770206	64.2653535
2.97147385	64.5735806
2.99524564	64.8818077
3.01901743	65.1900348
3.04278922	65.6523755
3.06656101	66.1147162
3.0903328	66.5770568
3.1141046	67.0393975
3.13787639	67.3476246
3.16164818	67.8099653
3.18541997	67.9640788
3.20919176	68.272306
3.23296355	68.5805331
3.25673534	68.8887602
3.28050713	69.5052144
3.30427892	70.2757822
3.32805071	70.7381229
3.3518225	71.2004635
3.37559429	71.5086907
3.39936609	71.9710313
3.42313788	72.2792585
3.44690967	72.5874856
3.47068146	72.8957127
3.49445325	73.3580534
3.51822504	73.6662805
3.54199683	74.1286211
3.56576862	74.4368483
3.58954041	74.7450754
3.6133122	75.5156432
3.63708399	76.1320974
3.66085578	76.2862109
3.68462757	76.5944381
3.70839937	76.7485516
3.73217116	77.0567787
3.75594295	77.3650058
